u_k,i_k,precision,recall,coverage,popularity,novel
1,1,0.0816542948038176,0.006940688660537228,0.08975903614457831,4.618267829256562,0.9731364231800974
5,1,0.25344644750795337,0.021543176491797367,0.13855421686746988,5.426447576302033,0.9504060882041081
10,1,0.30858960763520676,0.026230394808004327,0.12530120481927712,5.5916840438904725,0.9431513941737879
20,1,0.3563096500530223,0.03028664142779881,0.08795180722891566,5.712847367012044,0.9371941862641102
40,1,0.38812301166489926,0.03299080584099513,0.06265060240963856,5.821798641651493,0.9311829164327403
80,1,0.40721102863202546,0.03461330448891293,0.04457831325301205,5.899318974238553,0.9266833011041019
160,1,0.4050901378579003,0.034433026861366504,0.03132530120481928,5.952348070872143,0.9232335267086575
1,5,0.0745697896749522,0.03163872363439697,0.2765060240963855,4.657221694311807,0.9717853676418026
5,5,0.20084835630965006,0.08536145664323057,0.3108433734939759,5.321589354158309,0.9545518058760791
10,5,0.24241781548250266,0.10302866414277988,0.24036144578313254,5.464533910878535,0.9491143409643492
20,5,0.2665959703075292,0.11330448891292591,0.16626506024096385,5.584373990474936,0.943984488387053
40,5,0.2839872746553552,0.12069587164232919,0.13072289156626507,5.662688983794148,0.940346952778962
80,5,0.27613997879109226,0.11736073553272039,0.10180722891566266,5.730213989633046,0.9369509492025605
160,5,0.2625662778366914,0.1115918514512349,0.07710843373493977,5.786154152879789,0.9339460628365629
1,10,0.07360900627841524,0.06129439336578331,0.45903614457831327,4.648255302531677,0.9720913829917549
5,10,0.16977730646871686,0.1443122408509104,0.40843373493975904,5.223584794344099,0.9578345913126038
10,10,0.1956521739130435,0.16630611141157384,0.32228915662650603,5.368359955735051,0.9530037843344599
20,10,0.21155885471898198,0.17982693347755543,0.236144578313253,5.479616118325455,0.9488454660760891
40,10,0.22152704135737009,0.18829998197223724,0.18433734939759036,5.561666469990344,0.9455237768489714
80,10,0.21654294803817603,0.18406345772489635,0.13975903614457832,5.620152789507814,0.9429901648888084
160,10,0.20615058324496288,0.1752298539751217,0.11566265060240964,5.668141144235925,0.9406972532384658
1,20,0.06990556512442835,0.10609338381106904,0.6180722891566265,4.6015698857231975,0.9731299297647763
5,20,0.13419936373276775,0.2281413376599964,0.5084337349397591,5.090272840269181,0.9619074501485797
10,20,0.1511664899257688,0.25698575806742385,0.41686746987951806,5.2351473667608825,0.9578038487928764
20,20,0.16299045599151643,0.27708671353884984,0.31867469879518073,5.343046307890063,0.9544054644126115
40,20,0.1666489925768823,0.28330629168920135,0.25180722891566265,5.424676137225298,0.9516780300666577
80,20,0.16420996818663838,0.2791599062556337,0.20481927710843373,5.479457605293643,0.9496830827770294
160,20,0.15683987274655356,0.2666306111411574,0.16987951807228915,5.523721182391696,0.9478959204041312
1,40,0.07074340527577938,0.18081846042906075,0.7506024096385542,4.579810500094868,0.9736071834573526
5,40,0.10250611897414068,0.347304849468181,0.636144578313253,4.9094827193618205,0.9665382151583665
10,40,0.11309650053022269,0.38453217955651703,0.5246987951807229,5.053008223632592,0.9633031002432906
20,40,0.11802757158006362,0.40129799891833423,0.4391566265060241,5.160053774518106,0.9606772347327223
40,40,0.11967126193001061,0.4068866053722733,0.36686746987951807,5.236132686570359,0.9586706121473179
80,40,0.11805408271474019,0.40138813773210746,0.2933734939759036,5.29323342470416,0.9569977231613982
160,40,0.11428950159066809,0.3885884261763115,0.24156626506024095,5.34670156541199,0.9552171833739098
1,80,0.07155906073163125,0.2895258698395529,0.8487951807228916,4.550357189383966,0.9742399743838538
5,80,0.07683185091063109,0.4905354245538129,0.7765060240963856,4.741259716681825,0.9706055759024322
10,80,0.07959216356162921,0.5375878853434288,0.6795180722891566,4.815733990282854,0.9690232765287642
20,80,0.08206521739130435,0.5580493960699477,0.5692771084337349,4.908551721248005,0.9672610878920902
40,80,0.08221102863202545,0.559040923021453,0.4831325301204819,4.98249695566633,0.9657797132637692
80,80,0.08120360551431602,0.552190373174689,0.40843373493975904,5.044383652668017,0.9643610322706918
160,80,0.07823435843054083,0.5319992788894898,0.33433734939759036,5.145448779821424,0.9617384390658659
1,160,0.07093577521324636,0.4077879935100054,0.9066265060240963,4.489924652495187,0.9755737206447034
5,160,0.05862085978357399,0.6425996033892194,0.8831325301204819,4.600634920211032,0.9740146450974966
10,160,0.055772177082652606,0.6923562285920317,0.8271084337349398,4.627704628276988,0.9734838578876699
20,160,0.054288875835029574,0.716423291869479,0.7367469879518073,4.658207226002703,0.9728035229883977
40,160,0.0527558689494597,0.7168739859383451,0.6427710843373494,4.694054950233742,0.9719762766832385
80,160,0.05199496288441145,0.7071389940508382,0.5765060240963855,4.780541835778876,0.9704939336286112
160,160,0.05080196182396607,0.6909140075716603,0.46265060240963857,4.925819942002818,0.9679186056183218
